ticker,company_name,current_index,market_cap,rank,predicted_action
WTB.L,Whitbread,FTSE 100,4185223936.0,100.0,no change
ITH.L,Ithaca Energy,FTSE 250,4021620480.0,101.0,no change
SCT.L,Softcat,FTSE 250,3985610496.0,102.0,no change
HBR.L,Harbour Energy,FTSE 250,3879958272.0,103.0,no change
MNDI.L,Mondi,FTSE 250,3873731328.0,104.0,no change
BRBY.L,Burberry Group,FTSE 100,3850764288.0,105.0,no change
PSN.L,Persimmon,FTSE 100,3800247296.0,106.0,no change
RSW.L,Renishaw,FTSE 250,3796756480.0,107.0,no change
RMV.L,Rightmove,FTSE 250,3757777920.0,108.0,no change
JMAT.L,Johnson Matthey,FTSE 250,3683404288.0,109.0,no change
ENT.L,Entain,FTSE 100,3621880064.0,110.0,remove
3IN.L,3i Infrastructure,FTSE 250,3527988736.0,111.0,no change
EMG.L,Man Group,FTSE 250,3477933312.0,112.0,no change
FRAS.L,Frasers Group,FTSE 250,3468055552.0,113.0,no change
ROSE.L,Rosebank Industries,FTSE 250,3458090240.0,114.0,no change
JGGI.L,JPMorgan Global Growth & Income,FTSE 250,3454409984.0,115.0,no change
HIK.L,Hikma Pharmaceuticals,FTSE 250,3382872576.0,116.0,no change
RS1.L,RS Group,FTSE 250,3370799872.0,117.0,no change
BKG.L,Berkeley Group Holdings,FTSE 250,3309887488.0,118.0,no change
RCP.L,RIT Capital Partners,FTSE 250,3242500864.0,119.0,no change
CTY.L,City of London Investment Trust,FTSE 250,3044766208.0,120.0,no change
BPT.L,Bridgepoint Group,FTSE 250,3000821760.0,121.0,no change
TW.L,Taylor Wimpey,FTSE 250,2962819584.0,122.0,no change
TEM.L,Templeton Emerging Markets Investment Trust,FTSE 250,2944278528.0,123.0,no change
QQ.L,Qinetiq,FTSE 250,2913493248.0,124.0,no change
INCH.L,Inchcape,FTSE 250,2862672384.0,125.0,no change
CWK.L,Cranswick,FTSE 250,2803882496.0,126.0,no change
SHC.L,Shaftesbury Capital,FTSE 250,2747959296.0,127.0,no change
UTG.L,Unite Group,FTSE 250,2728621056.0,128.0,no change
QLT.L,Quilter,FTSE 250,2670483456.0,129.0,no change
HOC.L,Hochschild Mining,FTSE 250,2662322432.0,130.0,no change
ITV.L,ITV,FTSE 250,2658425088.0,131.0,no change
TBCG.L,TBC Bank,FTSE 250,2652828160.0,132.0,no change
SRP.L,Serco,FTSE 250,2625435904.0,133.0,no change
PLUS.L,Plus500,FTSE 250,2593147136.0,134.0,no change
MTO.L,Mitie,FTSE 250,2588208384.0,135.0,no change
HICL.L,HICL Infrastructure Company,FTSE 250,2584795392.0,136.0,no change
MNKS.L,Monks Investment Trust,FTSE 250,2505152768.0,137.0,no change
INPP.L,International Public Partnerships,FTSE 250,2495560704.0,138.0,no change
PHP.L,Primary Health Properties,FTSE 250,2486010112.0,139.0,no change
TATE.L,Tate & Lyle,FTSE 250,2449595136.0,140.0,no change
BWY.L,Bellway,FTSE 250,2441475328.0,141.0,no change
